gid,District Name,Facility Name,TotalTest,Manual Test,Automated Test,Total Asset,FAA,CC,SAA,Interface FAA,Interface CC,Interface SAA
4,Theni,Periakulam-DHQ,219,158,61,1,0,1,0,0,1,0
4,Theni,Varusanadu,111,111,0,1,0,0,1,0,0,1
4,Theni,Veerapandi,938,938,0,2,0,1,1,0,1,1
11,TheNilgiris,Adigaratty,8,8,0,1,0,0,1,0,0,1
11,TheNilgiris,Aruvankadu,307,307,0,1,0,0,1,0,0,1
11,TheNilgiris,Ketty,22,22,0,2,0,1,1,0,1,1
11,TheNilgiris,Kolacombai,43,42,1,1,0,0,1,0,0,0
11,TheNilgiris,Melurhosatty,18,18,0,1,0,0,1,0,0,0
11,TheNilgiris,Nedugula,132,132,0,2,0,1,1,0,1,1
11,TheNilgiris,Nellakottai,2,2,0,2,0,1,1,0,1,1
11,TheNilgiris,T.Oranally,161,161,0,2,0,1,1,0,1,1
11,TheNilgiris,Uthagamandalam-DHQ,1579,1579,0,5,1,1,2,1,1,0
11,TheNilgiris,Yedappally,49,49,0,1,0,0,1,0,0,1
31,Tiruchchirappalli,Anampatti,238,238,0,1,0,0,1,0,0,1
31,Tiruchchirappalli,Chettiapatti,120,120,0,1,0,0,1,0,0,1
31,Tiruchchirappalli,Inamkulathur  Chc Gr Ii,232,232,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Kattuputhur,56,55,1,2,0,1,1,0,1,1
31,Tiruchchirappalli,Kulumani  Chc Gr.I,80,80,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Manapparai-DHQ,11,11,0,0,0,0,0,0,0,0
31,Tiruchchirappalli,Maravanur,7,7,0,1,0,0,1,0,0,1
31,Tiruchchirappalli,Navalpattu,25,25,0,2,0,2,0,0,2,0
31,Tiruchchirappalli,Pudur Uthamanur  Chc Gr I,134,123,11,2,0,1,1,0,1,1
31,Tiruchchirappalli,Pullambadi  Chc Gr I,1,1,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Puthanatham  Chc Gr I,47,47,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Sirukambur   Chc Gr I,10,8,2,2,0,1,1,0,1,1
31,Tiruchchirappalli,T Pet   Chc Gr I,300,300,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,T.Puthur - Chc Gr.I,342,306,36,2,0,1,1,0,1,1
31,Tiruchchirappalli,Uppliyapuram   Chc Gr I,67,67,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Vaiyampatti   Chc Gr I,125,125,0,2,0,1,1,0,1,1
31,Tiruchchirappalli,Valannadu  Chc Gr Ii,203,203,0,2,0,2,0,0,2,0
31,Tiruchchirappalli,Veramachan Patti  Chc Gr I,70,70,0,2,0,1,1,0,1,1
30,Thiruvarur,Adhichapuram,552,552,0,2,0,1,1,0,1,1
30,Thiruvarur,Adiyakkamangalam,375,375,0,2,0,1,1,0,1,0
30,Thiruvarur,Alangudi,168,168,0,2,0,1,1,0,1,1
30,Thiruvarur,Alathambadi,2134,2134,0,2,0,1,1,0,1,1
30,Thiruvarur,Avur,509,509,0,1,0,0,1,0,0,1
30,Thiruvarur,Haridwaramangalam,3,3,0,0,0,0,0,0,0,0
30,Thiruvarur,Inamkiliyur,1,1,0,1,0,0,1,0,0,1
30,Thiruvarur,Mannargudi-DHQ,1442,1441,1,3,0,2,1,0,1,0
30,Thiruvarur,Perumpannaiyur,4,4,0,2,0,1,1,0,1,1
30,Thiruvarur,Poonthottam,702,702,0,2,0,1,1,0,1,0
30,Thiruvarur,Rayapuram,966,966,0,0,0,0,0,0,0,0
30,Thiruvarur,Senganthiedaiyur,1442,1442,0,2,0,1,1,0,1,1
30,Thiruvarur,Thiruvizhimizhalai,317,317,0,2,0,1,1,0,1,1
30,Thiruvarur,Ullikkottai,5,5,0,2,0,1,1,0,1,1
17,Thoothukudi,Eppothumvendran,5,5,0,1,0,0,1,0,0,1
17,Thoothukudi,Eral,9,9,0,2,0,1,1,0,1,1
17,Thoothukudi,Kadambur,32,32,0,2,0,1,1,0,0,1
17,Thoothukudi,Karungulam,1109,1109,0,2,0,1,1,0,1,1
17,Thoothukudi,Katcherithalavaypura,123,123,0,1,0,0,1,0,0,1
17,Thoothukudi,Kayamozhi,14,14,0,2,0,1,1,0,1,1
17,Thoothukudi,Keelachekkarakudi,174,174,0,1,0,0,1,0,0,1
17,Thoothukudi,Keelairali,125,124,1,2,0,1,1,0,1,1
